Timestamp,Fees
1680480000,4581.699968189009
1680566400,7198.335220639025
1680652800,7866.136811103725
1680739200,5503.380428313837
1680825600,2882.4655834323953
1680912000,1803.3807020353959
1680998400,1232.1743048430421
1681084800,1584.9784557193564
1681171200,1077.9098597690465
1681257600,4716.52542766973
1681344000,1284.5704815058673
1681430400,5697.983249487769
1681516800,11539.668795353717
1681603200,3041.3508574641514
1681689600,6034.5867398582395
1681776000,5353.568753100886
1681862400,6302.527523252817
1681948800,2277.3721751244775
1682035200,2822.465411194699
1682121600,1073.6592232415906
1682208000,1383.613946097256
1682294400,774.1521748092906
1682380800,1075.187404100109
1682467200,1165.2823397154725
1682553600,558.5275520333465
1682640000,1805.960974419912
1682726400,1324.1482982319214
